8216,1,13834,951,2,1,1,1,13573,06/06/2009,6,1092.00,4.60,0.00,0.00,S,A,0,NULL,S,0.30,0,0.00,0.00,-
8762,1,14755,571,2,1,1,1,14135,19/08/2009,12,1944.00,4.00,0.00,0.00,S,A,0,NULL,S,0.30,0,0.00,0.00,-
10604,1,17860,1361,2,1,1,1,16046,29/05/2010,2,530.00,0.00,0.00,0.00,S,A,0,NULL,S,0.30,0,0.00,0.00,-
11131,1,18815,571,2,1,1,1,16573,27/08/2010,1,189.00,0.00,0.00,0.00,N,A,0,NULL,S,0.30,0,0.00,0.00,-
4659,1,7596,1320,2,1,1,1,09899,25/01/2008,2,340.00,0.00,0.00,0.00,N,A,0,NULL,S,0.30,0,0.00,0.00,-
4663,1,7615,851,2,1,1,1,09916,04/02/2008,1,135.00,0.00,0.00,0.00,N,A,0,NULL,S,0.30,0,0.00,0.00,-
11155,1,18865,1155,2,1,1,1,16599,31/08/2010,2,1698.00,0.00,0.00,0.00,N,A,0,NULL,S,0.30,0,0.00,0.00,-
10259,1,17266,571,13,1,1,1,15678,09/04/2010,18,14310.00,3.00,0.00,0.00,N,A,0,NULL,S,0.30,0,0.00,0.00,-
5114,1,8358,258,2,1,1,1,10389,02/04/2008,12,3344.00,3.95,0.00,0.00,N,A,0,NULL,S,0.30,0,0.00,0.00,-
19723,1,34952,1326,2,1,1,1,25280,09/05/2015,2,684.00,0.00,0.00,0.00,N,A,0,NULL,S,0.30,0,0.00,0.00,-
11627,2,19759,571,13,1,1,1,17075,03/12/2010,12,2640.00,3.95,0.00,0.00,N,A,0,NULL,S,0.30,0,0.00,0.00,-
10480,2,17636,571,13,1,1,1,15912,08/05/2010,12,7140.00,6.00,0.00,0.00,N,A,0,NULL,S,0.30,0,0.00,0.00,-
1134,2,1760,1283,2,1,1,1,01175,23/07/2006,4,596.00,3.90,0.00,0.00,N,A,0,NULL,S,0.30,0,0.00,0.00,-
8879,2,14959,489,2,1,1,1,14251,05/09/2009,3,1405.00,3.90,0.00,0.00,N,A,0,NULL,S,0.30,0,0.00,0.00,-
2570,2,4204,53,2,1,1,1,02734,24/03/2007,2,501.00,0.00,0.00,0.00,N,A,0,NULL,S,0.30,0,0.00,0.00,-
12662,2,21729,951,2,1,1,1,18122,18/05/2011,8,2380.00,3.20,0.00,0.00,N,A,0,NULL,S,0.30,0,0.00,0.00,-
20663,2,36005,1326,2,1,1,1,25741,06/10/2015,3,1094.00,1.70,0.00,0.00,N,A,0,NULL,S,0.30,0,0.00,0.00,-
1208,2,1883,53,2,1,1,1,01248,04/08/2006,2,501.00,0.00,0.00,0.00,N,A,0,NULL,S,0.30,0,0.00,0.00,-
