1080,114,1,1,24/12/2005,null,0,L,-,200.00,0.00,0.00,0.00,0.00,A,0.00,200.00
3426,366,1,1,10/03/2006,null,2,L,-,56.25,0.00,0.28,0.00,0.00,A,23.43,32.54
3727,400,1,1,09/04/2006,null,2,L,-,780.00,0.00,0.00,0.00,0.00,A,0.00,780.00
6100,681,1,1,21/05/2006,null,1,L,-,77.00,0.00,0.27,0.00,0.00,A,5.15,71.58
6102,681,1,1,21/07/2006,null,3,L,-,77.00,0.00,0.27,0.00,0.00,A,5.15,71.58
6588,752,1,1,06/10/2006,null,5,L,-,43.00,0.00,0.87,0.00,3.00,A,8.96,33.17
7084,814,1,1,13/08/2006,null,2,L,-,215.00,0.00,0.00,0.00,0.00,A,0.00,215.00
11359,1400,1,1,10/12/2006,null,3,L,-,272.00,0.00,0.57,0.00,0.00,A,28.43,243.00
15170,1921,1,1,22/12/2006,null,0,L,-,329.00,0.00,0.00,0.00,0.00,A,0.00,329.00
16170,2032,1,1,28/03/2007,null,3,L,-,116.00,0.00,0.51,0.00,2.00,A,30.57,84.92
16175,2032,1,1,29/08/2007,null,8,L,-,116.00,0.00,0.51,0.00,3.00,A,30.57,84.92
22228,2870,1,1,13/07/2007,null,2,L,-,445.00,0.00,0.00,0.00,0.00,A,0.00,445.00
24903,3256,2,1,03/05/2008,null,10,L,-,129.00,0.00,0.68,0.00,0.00,A,49.60,78.72
25514,3328,1,1,17/08/2007,null,1,L,-,100.00,0.00,0.00,0.00,0.00,A,0.00,100.00
26725,3498,1,1,30/04/2008,null,4,L,-,210.00,0.00,0.46,0.00,0.00,A,67.96,141.58
48788,6787,42,1,28/02/2009,null,4,L,-,60.00,0.00,0.07,0.00,0.00,A,11.60,48.33
48950,6816,1,1,03/11/2008,null,0,L,-,200.00,0.00,0.00,0.00,0.00,A,0.00,200.00
52745,7297,43,1,30/05/2009,null,5,L,-,168.00,0.00,0.50,0.00,4.00,A,42.50,125.00
59171,8216,1,1,06/08/2009,null,2,L,-,182.00,0.00,3.58,0.00,0.00,A,38.59,139.83
68072,9467,1,1,09/01/2010,null,1,L,-,500.00,0.00,0.00,0.00,10.00,A,0.00,500.00
71980,10038,42,1,01/12/2010,null,9,L,-,209.00,0.00,1.85,0.00,0.00,A,100.15,107.00
71982,10038,42,1,01/02/2011,null,11,L,-,209.00,0.00,1.85,0.00,0.00,A,100.15,107.00
78637,11011,42,1,02/09/2010,null,1,L,-,103.00,0.00,6.54,0.00,0.00,A,27.56,68.90
79758,11174,44,1,04/02/2011,null,5,L,-,68.00,0.00,0.29,0.00,0.00,A,21.96,45.75
81238,11425,45,1,21/11/2010,null,1,L,-,198.00,0.00,8.41,0.00,0.00,A,45.96,143.63
82906,11706,42,1,14/02/2011,null,2,L,-,241.00,0.00,1.24,0.00,0.00,A,39.96,199.80
82995,11719,1,1,17/03/2011,null,3,L,-,250.00,0.00,0.75,0.00,0.00,A,102.03,147.22
83004,11719,46,1,17/12/2011,null,12,L,-,250.00,0.00,0.75,0.00,10.00,A,102.03,147.22
83010,11719,46,1,17/06/2012,null,18,L,-,250.00,0.00,0.75,0.00,5.00,A,102.03,147.22
